question_id,question_type,discipline,n_avaliacoes,n_correcoes,status_final,n_melhorias_inicial,n_melhorias_final,criterios_iniciais,criterios_finais,criterios_resolvidos,criterios_novos_no_final,n_criterios_resolvidos,taxa_resolucao
78,Múltipla Escolha Simples,arte contemporanea,4,3,LIMITE_RODADAS_ATINGIDO,3,1,"[9, 17, 19]","[7, 17]","[9, 19]",[7],2,0.6666666666666666
85,Múltipla Escolha Simples,metodologias do ensino de linguas estrangeiras,4,3,LIMITE_RODADAS_ATINGIDO,3,1,"[7, 17, 19]",[17],"[7, 19]",[],2,0.6666666666666666
86,Múltipla Escolha Simples,educacao de jovens e adultos,2,1,APROVADO,3,0,"[6, 7, 9, 11, 19]",[],"[6, 7, 9, 11, 19]",[],5,1.0
93,Múltipla Escolha Simples,geografia economica,4,3,APROVADO,3,0,"[6, 7, 11]",[],"[6, 7, 11]",[],3,1.0
98,Afirmação Incompleta,conexao sem barreiras em saude,4,3,LIMITE_RODADAS_ATINGIDO,3,2,"[9, 17, 19]","[9, 17]",[19],[],1,0.3333333333333333
106,Afirmação Incompleta,morfossintaxe da lingua inglesa,4,3,LIMITE_RODADAS_ATINGIDO,2,2,"[15, 17, 19]",[15],"[17, 19]",[],2,0.6666666666666666
109,Múltipla Escolha Simples,calculo diferencial e integral iii,4,3,LIMITE_RODADAS_ATINGIDO,3,1,"[9, 17, 19]",[17],"[9, 19]",[],2,0.6666666666666666
117,Múltipla Escolha Simples,educacao de jovens e adultos,4,3,LIMITE_RODADAS_ATINGIDO,3,1,"[7, 11, 19]",[17],"[7, 11, 19]",[17],3,1.0
118,Afirmação Incompleta,morfossintaxe da lingua inglesa,4,3,LIMITE_RODADAS_ATINGIDO,3,1,"[6, 7, 9, 17]",[9],"[6, 7, 17]",[],3,0.75
122,Afirmação Incompleta,quimica organica,2,1,APROVADO,2,0,"[3, 19]",[],"[3, 19]",[],2,1.0
123,Afirmação Incompleta,arte contemporanea,4,3,LIMITE_RODADAS_ATINGIDO,2,1,"[9, 19]",[9],[19],[],1,0.5
131,Múltipla Escolha Simples,microbiologia e imunologia,4,3,LIMITE_RODADAS_ATINGIDO,2,1,"[17, 19]",[17],[19],[],1,0.5
132,Afirmação Incompleta,geografia economica,4,3,LIMITE_RODADAS_ATINGIDO,1,1,"[6, 7, 9, 17, 19]",[17],"[6, 7, 9, 19]",[],4,0.8
141,Múltipla Escolha Simples,geometria espacial,4,3,LIMITE_RODADAS_ATINGIDO,3,1,"[7, 11, 19]","[7, 17]","[11, 19]",[17],2,0.6666666666666666
151,Afirmação Incompleta,calculo diferencial e integral iii,2,1,APROVADO,1,0,"[17, 19]",[],"[17, 19]",[],2,1.0
160,Asserção-Razão,semantica,4,3,LIMITE_RODADAS_ATINGIDO,2,1,"[15, 19]",[15],[19],[],1,0.5
165,Múltipla Escolha Simples,arte contemporanea,4,3,LIMITE_RODADAS_ATINGIDO,2,1,"[17, 19]",[17],[19],[],1,0.5
167,Afirmação Incompleta,microbiologia e imunologia,2,1,APROVADO,2,0,"[7, 9, 19]",[],"[7, 9, 19]",[],3,1.0
171,Afirmação Incompleta,funcionamento da educacao brasileira e politicas publicas,2,1,APROVADO,2,0,"[6, 19]",[],"[6, 19]",[],2,1.0
184,Múltipla Escolha Simples,calculo diferencial e integral iii,4,3,LIMITE_RODADAS_ATINGIDO,3,1,"[9, 11, 17, 19]",[17],"[9, 11, 19]",[],3,0.75
186,Múltipla Escolha Simples,calculo diferencial e integral iii,4,3,LIMITE_RODADAS_ATINGIDO,5,4,"[2, 3, 11, 15, 17, 19]","[2, 3, 15]","[11, 17, 19]",[],3,0.5
224,Múltipla Escolha Simples,semantica,3,2,APROVADO,3,0,"[7, 9, 11]",[],"[7, 9, 11]",[],3,1.0
227,Afirmação Incompleta,educacao de jovens e adultos,3,2,APROVADO,2,0,"[12, 17, 19]",[],"[12, 17, 19]",[],3,1.0
228,Afirmação Incompleta,geografia economica,4,3,LIMITE_RODADAS_ATINGIDO,1,1,[17],[17],[],[],0,0.0
229,Múltipla Escolha Simples,calculo diferencial e integral iii,2,1,APROVADO,2,0,"[11, 17, 19]",[],"[11, 17, 19]",[],3,1.0
238,Afirmação Incompleta,morfossintaxe da lingua inglesa,2,1,APROVADO,2,0,"[12, 17, 19]",[],"[12, 17, 19]",[],3,1.0
241,Múltipla Escolha Simples,arte contemporanea,4,3,LIMITE_RODADAS_ATINGIDO,2,3,"[9, 17]","[6, 9, 17]",[],[6],0,0.0
251,Afirmação Incompleta,morfossintaxe da lingua inglesa,2,1,APROVADO,3,0,"[12, 15, 17, 19]",[],"[12, 15, 17, 19]",[],4,1.0
252,Afirmação Incompleta,geometria espacial,2,1,APROVADO,4,0,"[5, 6, 7, 9, 12, 17, 19]",[],"[5, 6, 7, 9, 12, 17, 19]",[],7,1.0
260,Múltipla Escolha Simples,calculo diferencial e integral iii,3,2,APROVADO,2,0,"[11, 17, 19]",[],"[11, 17, 19]",[],3,1.0
288,Afirmação Incompleta,calculo diferencial e integral iii,4,3,LIMITE_RODADAS_ATINGIDO,3,1,"[6, 9, 17, 19]","[6, 7]","[9, 17, 19]",[7],3,0.75
289,Asserção-Razão,geometria espacial,4,3,LIMITE_RODADAS_ATINGIDO,2,2,"[15, 19]",[15],[19],[],1,0.5
312,Afirmação Incompleta,semantica,4,3,LIMITE_RODADAS_ATINGIDO,2,1,"[7, 12, 17, 19]",[17],"[7, 12, 19]",[],3,0.75
322,Afirmação Incompleta,educacao de jovens e adultos,4,3,LIMITE_RODADAS_ATINGIDO,2,1,"[6, 9, 17, 19]",[17],"[6, 9, 19]",[],3,0.75
327,Afirmação Incompleta,morfossintaxe da lingua inglesa,4,3,LIMITE_RODADAS_ATINGIDO,4,1,"[12, 16, 17, 19]","[7, 17]","[12, 16, 19]",[7],3,0.75
331,Múltipla Escolha Simples,quimica organica,4,3,LIMITE_RODADAS_ATINGIDO,3,2,"[9, 17, 19]","[9, 17]",[19],[],1,0.3333333333333333
334,Múltipla Escolha Simples,fisioterapia dermatofuncional,4,3,LIMITE_RODADAS_ATINGIDO,3,2,"[9, 17, 19]","[9, 17]",[19],[],1,0.3333333333333333
343,Múltipla Escolha Simples,geografia economica,3,2,APROVADO,2,0,"[7, 11, 17]",[],"[7, 11, 17]",[],3,1.0
356,Múltipla Escolha Simples,semantica,4,3,APROVADO,3,0,"[7, 9, 11, 17]",[],"[7, 9, 11, 17]",[],4,1.0
360,Múltipla Escolha Simples,microbiologia e imunologia,4,3,LIMITE_RODADAS_ATINGIDO,3,1,"[6, 17, 19]",[17],"[6, 19]",[],2,0.6666666666666666
362,Afirmação Incompleta,geometria espacial,2,1,APROVADO,2,0,"[5, 6, 7, 9, 17, 19]",[],"[5, 6, 7, 9, 17, 19]",[],6,1.0
364,Múltipla Escolha Simples,geometria espacial,2,1,APROVADO,3,0,"[6, 11, 17, 19]",[],"[6, 11, 17, 19]",[],4,1.0
374,Múltipla Escolha Simples,geografia economica,4,3,LIMITE_RODADAS_ATINGIDO,3,2,"[6, 7, 9, 11, 17, 19]","[9, 17]","[6, 7, 11, 19]",[],4,0.6666666666666666
405,Múltipla Escolha Simples,geometria espacial,3,2,APROVADO,3,0,"[7, 11, 17, 19]",[],"[7, 11, 17, 19]",[],4,1.0
418,Múltipla Escolha Simples,semantica,3,2,APROVADO,3,0,"[7, 11, 19]",[],"[7, 11, 19]",[],3,1.0
438,Múltipla Escolha Simples,geografia economica,4,3,LIMITE_RODADAS_ATINGIDO,2,1,"[17, 19]","[7, 17]",[19],[7],1,0.5
457,Afirmação Incompleta,semantica,3,2,APROVADO,3,0,"[6, 7, 9, 16, 17, 19]",[],"[6, 7, 9, 16, 17, 19]",[],6,1.0
470,Múltipla Escolha Simples,morfossintaxe da lingua inglesa,4,3,LIMITE_RODADAS_ATINGIDO,2,1,"[11, 12, 17]",[17],"[11, 12]",[],2,0.6666666666666666
483,Múltipla Escolha Simples,geometria espacial,3,2,APROVADO,2,0,"[11, 17, 19]",[],"[11, 17, 19]",[],3,1.0
489,Afirmação Incompleta,educacao de jovens e adultos,4,3,LIMITE_RODADAS_ATINGIDO,3,1,"[6, 7, 9, 16, 17, 19]",[16],"[6, 7, 9, 17, 19]",[],5,0.8333333333333334
500,Afirmação Incompleta,analise de investimentos e fontes de financiamento,4,3,LIMITE_RODADAS_ATINGIDO,3,2,"[7, 9, 17]","[9, 17]",[7],[],1,0.3333333333333333
503,Múltipla Escolha Simples,semantica,2,1,APROVADO,2,0,"[7, 11, 17]",[],"[7, 11, 17]",[],3,1.0
512,Afirmação Incompleta,arte contemporanea,4,3,LIMITE_RODADAS_ATINGIDO,2,1,"[5, 7, 15, 16, 17, 19]",[16],"[5, 7, 15, 17, 19]",[],5,0.8333333333333334
519,Afirmação Incompleta,geografia economica,4,3,LIMITE_RODADAS_ATINGIDO,3,1,"[6, 7, 9, 17, 19]",[17],"[6, 7, 9, 19]",[],4,0.8
526,Afirmação Incompleta,morfossintaxe da lingua inglesa,4,3,LIMITE_RODADAS_ATINGIDO,2,1,"[7, 17, 19]",[16],"[7, 17, 19]",[16],3,1.0
536,Afirmação Incompleta,arte contemporanea,3,2,APROVADO,2,0,"[7, 12, 17, 19]",[],"[7, 12, 17, 19]",[],4,1.0
540,Afirmação Incompleta,educacao de jovens e adultos,4,3,LIMITE_RODADAS_ATINGIDO,2,1,"[6, 7, 9, 17]","[7, 17]","[6, 9]",[],2,0.5
567,Múltipla Escolha Simples,calculo diferencial e integral iii,3,2,APROVADO,2,0,"[11, 17, 19]",[],"[11, 17, 19]",[],3,1.0
568,Afirmação Incompleta,semantica,4,3,LIMITE_RODADAS_ATINGIDO,1,1,"[6, 7, 9, 17]",[17],"[6, 7, 9]",[],3,0.75
589,Múltipla Escolha Simples,educacao de jovens e adultos,4,3,LIMITE_RODADAS_ATINGIDO,2,0,"[9, 11]",[7],"[9, 11]",[7],2,1.0
591,Afirmação Incompleta,educacao de jovens e adultos,4,3,LIMITE_RODADAS_ATINGIDO,2,1,"[7, 17, 19]",[17],"[7, 19]",[],2,0.6666666666666666
601,Afirmação Incompleta,arte contemporanea,2,1,APROVADO,2,0,"[12, 17, 19]",[],"[12, 17, 19]",[],3,1.0
615,Múltipla Escolha Simples,geografia economica,4,3,LIMITE_RODADAS_ATINGIDO,4,1,"[6, 7, 9, 11, 17]","[5, 17]","[6, 7, 9, 11]",[5],4,0.8
620,Afirmação Incompleta,calculo diferencial e integral iii,4,3,LIMITE_RODADAS_ATINGIDO,2,1,"[9, 17, 19]","[7, 9]","[17, 19]",[7],2,0.6666666666666666
623,Afirmação Incompleta,geografia economica,4,3,LIMITE_RODADAS_ATINGIDO,3,0,"[5, 6, 7, 9, 15, 16, 17, 19]",[7],"[5, 6, 9, 15, 16, 17, 19]",[],7,0.875
645,Múltipla Escolha Simples,fisioterapia dermatofuncional,4,3,LIMITE_RODADAS_ATINGIDO,3,1,"[6, 7, 9, 17, 19]",[17],"[6, 7, 9, 19]",[],4,0.8
651,Múltipla Escolha Simples,arte contemporanea,4,3,LIMITE_RODADAS_ATINGIDO,3,2,"[9, 17, 19]","[9, 17]",[19],[],1,0.3333333333333333
669,Múltipla Escolha Simples,arte contemporanea,4,3,LIMITE_RODADAS_ATINGIDO,3,1,"[9, 17, 19]",[17],"[9, 19]",[],2,0.6666666666666666
670,Afirmação Incompleta,ensino e aprendizagem da lingua portuguesa,4,3,LIMITE_RODADAS_ATINGIDO,2,1,"[6, 9, 19]",[9],"[6, 19]",[],2,0.6666666666666666
690,Múltipla Escolha Simples,geografia economica,4,3,LIMITE_RODADAS_ATINGIDO,4,1,"[5, 6, 7, 9, 17, 19]","[6, 9]","[5, 7, 17, 19]",[],4,0.6666666666666666
700,Múltipla Escolha Simples,arte contemporanea,4,3,APROVADO,3,0,"[6, 7, 11, 15, 17]",[],"[6, 7, 11, 15, 17]",[],5,1.0
704,Múltipla Escolha Simples,calculo diferencial e integral iii,3,2,APROVADO,3,0,"[11, 15, 17, 19]",[],"[11, 15, 17, 19]",[],4,1.0
707,Múltipla Escolha Complexa,calculo diferencial e integral ii,4,3,APROVADO,4,0,"[1, 2, 3, 4, 6, 7, 9, 15, 18, 19]",[],"[1, 2, 3, 4, 6, 7, 9, 15, 18, 19]",[],10,1.0
729,Afirmação Incompleta,semantica,2,1,APROVADO,1,0,"[6, 7, 9, 16, 17]",[],"[6, 7, 9, 16, 17]",[],5,1.0
743,Múltipla Escolha Simples,semantica,2,1,APROVADO,2,0,"[6, 7, 9, 11, 17]",[],"[6, 7, 9, 11, 17]",[],5,1.0
753,Múltipla Escolha Complexa,ensino e aprendizagem da lingua portuguesa,3,2,APROVADO,4,0,"[1, 3, 4, 5, 6, 7, 9, 15, 18, 19]",[],"[1, 3, 4, 5, 6, 7, 9, 15, 18, 19]",[],10,1.0
767,Múltipla Escolha Simples,semantica,2,1,APROVADO,3,0,"[6, 7, 9, 11]",[],"[6, 7, 9, 11]",[],4,1.0
777,Afirmação Incompleta,morfossintaxe da lingua inglesa,4,3,LIMITE_RODADAS_ATINGIDO,3,1,"[7, 15, 16, 17]",[16],"[7, 15, 17]",[],3,0.75
787,Múltipla Escolha Simples,analise de investimentos e fontes de financiamento,4,3,LIMITE_RODADAS_ATINGIDO,4,3,"[7, 9, 17, 19]","[6, 9, 17]","[7, 19]",[6],2,0.5
792,Afirmação Incompleta,semantica,4,3,LIMITE_RODADAS_ATINGIDO,6,1,"[6, 7, 9, 12, 15, 16, 17, 19]","[6, 7, 9]","[12, 15, 16, 17, 19]",[],5,0.625
794,Afirmação Incompleta,educacao de jovens e adultos,4,3,APROVADO,4,0,"[6, 7, 10, 12, 15, 17, 19]",[],"[6, 7, 10, 12, 15, 17, 19]",[],7,1.0
801,Afirmação Incompleta,calculo diferencial e integral iii,4,3,APROVADO,2,0,"[9, 17, 19]",[],"[9, 17, 19]",[],3,1.0
808,Múltipla Escolha Simples,calculo diferencial e integral iii,2,1,APROVADO,2,0,"[11, 17, 19]",[],"[11, 17, 19]",[],3,1.0
818,Afirmação Incompleta,geografia economica,2,1,APROVADO,2,0,"[6, 7, 9, 17, 19]",[],"[6, 7, 9, 17, 19]",[],5,1.0
827,Múltipla Escolha Simples,geometria espacial,4,3,LIMITE_RODADAS_ATINGIDO,3,1,"[7, 11, 17, 19]",[17],"[7, 11, 19]",[],3,0.75
840,Afirmação Incompleta,geometria espacial,2,1,APROVADO,2,0,"[5, 17, 19]",[],"[5, 17, 19]",[],3,1.0
844,Múltipla Escolha Simples,calculo diferencial e integral iii,2,1,APROVADO,2,0,"[11, 17, 19]",[],"[11, 17, 19]",[],3,1.0
