question_id,rodadas_executadas,status_final,n_melhorias_inicial,n_melhorias_final,criterios_iniciais,criterios_finais,criterios_resolvidos,criterios_novos,n_criterios_resolvidos
260,3,LIMITE_RODADAS_ATINGIDO,2,1,"[11, 17, 19]","[17, 19]",[11],[],1
288,3,LIMITE_RODADAS_ATINGIDO,3,2,"[6, 7, 9, 17, 19]","[9, 17, 19]","[6, 7]",[],2
289,3,LIMITE_RODADAS_ATINGIDO,2,3,"[15, 17, 19]","[15, 19]",[17],[],1
312,3,LIMITE_RODADAS_ATINGIDO,2,1,"[12, 17, 19]",[17],"[12, 19]",[],2
322,2,APROVADO,2,0,"[17, 19]",[],"[17, 19]",[],2
327,3,LIMITE_RODADAS_ATINGIDO,4,2,"[12, 16, 17, 19]","[6, 7, 16, 17]","[12, 19]","[6, 7]",2
331,3,LIMITE_RODADAS_ATINGIDO,3,2,"[9, 17, 19]","[9, 11]","[17, 19]",[11],2
334,3,APROVADO,3,0,"[9, 17, 19]",[],"[9, 17, 19]",[],3
343,3,LIMITE_RODADAS_ATINGIDO,2,1,"[7, 11, 17]",[7],"[11, 17]",[],2
356,3,APROVADO,3,0,"[7, 9, 11, 17]",[],"[7, 9, 11, 17]",[],4
360,3,APROVADO,3,0,"[6, 17, 19]",[],"[6, 17, 19]",[],3
362,3,LIMITE_RODADAS_ATINGIDO,2,2,"[5, 17, 19]","[17, 18, 19]",[5],[18],1
364,3,LIMITE_RODADAS_ATINGIDO,3,0,"[6, 7, 11, 17, 19]","[7, 17]","[6, 11, 19]",[],3
374,3,LIMITE_RODADAS_ATINGIDO,3,2,"[6, 7, 9, 11, 17, 19]","[1, 3, 4, 9, 15, 16, 17]","[6, 7, 11, 19]","[1, 3, 4, 15, 16]",4
405,3,LIMITE_RODADAS_ATINGIDO,3,0,"[7, 11, 17, 19]","[5, 7]","[11, 17, 19]",[5],3
418,3,LIMITE_RODADAS_ATINGIDO,3,1,"[7, 11, 19]",[19],"[7, 11]",[],2
438,3,LIMITE_RODADAS_ATINGIDO,2,0,"[17, 19]",[7],"[17, 19]",[7],2
457,3,LIMITE_RODADAS_ATINGIDO,3,1,"[7, 16, 17, 19]","[16, 17]","[7, 19]",[],2
470,3,LIMITE_RODADAS_ATINGIDO,2,3,"[7, 11, 12, 17]","[5, 9, 17]","[7, 11, 12]","[5, 9]",3
483,3,LIMITE_RODADAS_ATINGIDO,2,1,"[11, 17, 19]",[17],"[11, 19]",[],2
489,3,LIMITE_RODADAS_ATINGIDO,3,2,"[9, 16, 17, 19]","[9, 16]","[17, 19]",[],2
500,3,LIMITE_RODADAS_ATINGIDO,3,1,"[7, 9, 17]",[9],"[7, 17]",[],2
503,3,LIMITE_RODADAS_ATINGIDO,2,0,"[7, 11, 17]","[7, 17]",[11],[],1
512,3,LIMITE_RODADAS_ATINGIDO,2,1,"[5, 7, 16, 17, 19]","[16, 17]","[5, 7, 19]",[],3
519,3,LIMITE_RODADAS_ATINGIDO,3,2,"[7, 17, 19]","[7, 17, 19]",[],[],0
526,3,LIMITE_RODADAS_ATINGIDO,2,1,"[7, 17, 19]","[17, 19]",[7],[],1
536,3,LIMITE_RODADAS_ATINGIDO,2,1,"[12, 17, 19]","[16, 17]","[12, 19]",[16],2
540,3,LIMITE_RODADAS_ATINGIDO,2,1,"[6, 7, 9]","[7, 9, 17]",[6],[17],1
567,2,APROVADO,2,0,"[11, 17, 19]",[],"[11, 17, 19]",[],3
568,3,LIMITE_RODADAS_ATINGIDO,1,0,"[7, 17]",[17],[7],[],1
589,3,LIMITE_RODADAS_ATINGIDO,2,2,"[7, 9, 11]","[15, 16]","[7, 9, 11]","[15, 16]",3
591,3,LIMITE_RODADAS_ATINGIDO,2,0,"[7, 17, 19]","[5, 6, 7, 9, 17]",[19],"[5, 6, 9]",1
601,3,LIMITE_RODADAS_ATINGIDO,2,0,"[12, 17, 19]",[17],"[12, 19]",[],2
615,3,LIMITE_RODADAS_ATINGIDO,4,2,"[6, 7, 9, 11, 17]","[6, 9]","[7, 11, 17]",[],3
620,3,LIMITE_RODADAS_ATINGIDO,2,0,"[7, 9, 17, 19]","[5, 6, 7, 9, 17]",[19],"[5, 6]",1
623,3,LIMITE_RODADAS_ATINGIDO,3,1,"[5, 6, 7, 9, 15, 16, 17, 19]","[5, 7, 17, 19]","[6, 9, 15, 16]",[],4
645,3,APROVADO,3,0,"[9, 17, 19]",[],"[9, 17, 19]",[],3
651,3,LIMITE_RODADAS_ATINGIDO,3,2,"[9, 17, 19]","[9, 17]",[19],[],1
669,3,LIMITE_RODADAS_ATINGIDO,3,1,"[9, 17, 19]",[9],"[17, 19]",[],2
670,3,LIMITE_RODADAS_ATINGIDO,2,1,"[9, 19]",[9],[19],[],1
690,3,LIMITE_RODADAS_ATINGIDO,4,3,"[6, 7, 17, 19]","[6, 7, 17, 19]",[],[],0
700,3,LIMITE_RODADAS_ATINGIDO,3,1,"[6, 11, 15, 17]","[15, 17]","[6, 11]",[],2
704,3,LIMITE_RODADAS_ATINGIDO,3,0,"[11, 15, 17, 19]",[17],"[11, 15, 19]",[],3
707,3,LIMITE_RODADAS_ATINGIDO,4,1,"[1, 2, 3, 4, 5, 6, 7, 9, 15, 17, 18, 19]",[15],"[1, 2, 3, 4, 5, 6, 7, 9, 17, 18, 19]",[],11
729,3,LIMITE_RODADAS_ATINGIDO,1,2,"[7, 16, 17]","[9, 16, 17]",[7],[9],1
743,3,LIMITE_RODADAS_ATINGIDO,2,0,"[7, 11, 17]",[],"[7, 11, 17]",[],3
753,3,LIMITE_RODADAS_ATINGIDO,4,2,"[3, 5, 6, 7, 9, 15, 18, 19]","[7, 15, 19]","[3, 5, 6, 9, 18]",[],5
767,2,APROVADO,3,0,"[6, 7, 11, 17]",[],"[6, 7, 11, 17]",[],4
777,3,LIMITE_RODADAS_ATINGIDO,3,1,"[7, 15, 16, 17]","[16, 17]","[7, 15]",[],2
787,3,LIMITE_RODADAS_ATINGIDO,4,2,"[7, 9, 17, 19]","[9, 17]","[7, 19]",[],2
792,3,LIMITE_RODADAS_ATINGIDO,6,1,"[7, 12, 15, 16, 17, 19]","[17, 19]","[7, 12, 15, 16]",[],4
794,3,LIMITE_RODADAS_ATINGIDO,4,2,"[6, 15, 17, 19]","[6, 15, 17]",[19],[],1
801,3,LIMITE_RODADAS_ATINGIDO,2,1,"[9, 17, 19]","[9, 17]",[19],[],1
808,3,LIMITE_RODADAS_ATINGIDO,2,2,"[11, 17, 19]","[11, 17, 19]",[],[],0
818,3,LIMITE_RODADAS_ATINGIDO,2,0,"[7, 17, 19]",[17],"[7, 19]",[],2
827,3,LIMITE_RODADAS_ATINGIDO,3,0,"[7, 11, 17, 19]","[5, 6, 7, 9]","[11, 17, 19]","[5, 6, 9]",3
840,3,LIMITE_RODADAS_ATINGIDO,2,1,"[5, 17, 19]","[5, 17]",[19],[],1
844,3,LIMITE_RODADAS_ATINGIDO,2,1,"[11, 17, 19]","[11, 17]",[19],[],1
