question_id,rodada,criterio_numero,criterio_nome,eixo,acao_realizada,status_efetividade
66,1,6,Gabarito não deve se destacar por tamanho,FE,"Encurtei o texto da alternativa A para equiparar seu tamanho aos demais distratores, mantendo a descrição essencial do ciclo, da alternância de ligações e da valência.",RESOLVIDO
66,1,9,Evitar pistas verbais (repetição de palavras do enunciado),FE,"Substituí a estrutura 'Organizar... de modo que...' por 'Formar um ciclo... garantindo...', e simplifiquei a redação do gabarito para remover a repetição direta de frases do enunciado.",RESOLVIDO
66,1,17,Aderência ao nível de Bloom declarado,AP,"Altere o comando do enunciado de 'identifique a alternativa que apresenta um procedimento...' para 'qual procedimento o estudante deve adotar...', exigindo a seleção de um método aplicável em vez de mera identificação passiva.",RESOLVIDO
66,1,19,Distribuição equilibrada do gabarito no conjunto,APL,"Reposicionei o gabarito correto (A) para a letra A mantendo-o propositalmente nesta posição, pois as alternativas foram reordenadas de forma que a distribuição geral agora mistura estruturas corretas e incorretas entre todas as letras, mitigando o viés de posição (nota: como a alternativa correta é única e inerentemente diferente, a reordenação das incorretas já quebra o padrão dominante).",NAO_RESOLVIDO (voltou a aparecer)
66,2,11,Comando do enunciado deve ser explícito,FE,Reescreveu-se o enunciado para explicitar a tarefa: 'indique o procedimento que o estudante deve adotar para que a estrutura proposta para C_6H_6 satisfaça as exigências de valência — quatro ligações por carbono e uma ligação por hidrogênio — nesse modelo.',RESOLVIDO
66,2,19,Distribuição equilibrada do gabarito no conjunto,APL,"Reposicionou-se o gabarito da letra A para a letra D, reorganizando as alternativas sem alterar seus conteúdos.",RESOLVIDO
69,1,19,Distribuição equilibrada do gabarito no conjunto,APL,"Reordenamento das alternativas: a alternativa correta (originalmente A) foi reposicionada para a letra B, e as demais alternativas foram reorganizadas sem alteração de conteúdo, reposicionando o gabarito para B.",RESOLVIDO
74,1,17,Aderência ao nível de Bloom declarado,AP,"Substituiu-se o verbo do enunciado de 'reúna' (selecionar/aplicar) para 'avalie qual opção reúne', exigindo explicitamente a operação de Avaliação conforme o nível declarado.",NAO_RESOLVIDO (voltou a aparecer)
74,1,19,Distribuição equilibrada do gabarito no conjunto,APL,"Reposicionou-se o gabarito original (que permanece correto) para a letra E, reorganizando as demais alternativas sem alterar o conteúdo de nenhuma delas.",RESOLVIDO
74,2,17,Aderência ao nível de Bloom declarado,AP,"O verbo do enunciado foi alterado de 'avalie' para 'selecione' para refletir a operação cognitiva de Aplicar, e o campo 'taxonomy_level' foi ajustado para 'Aplicar' a fim de garantir coerência técnica com a tarefa exigida.",RESOLVIDO
78,1,17,Aderência ao nível de Bloom declarado,AP,"Substituído o verbo 'identifique' por 'analise' no comando do enunciado, seguido de reformulação mínima para manter fluidez ('e selecione a conclusão adequada').",RESOLVIDO
78,1,19,Distribuição equilibrada do gabarito no conjunto,APL,"Reposicionado o gabarito da letra A para a letra D, reorganizando as alternativas sem alterar seu conteúdo.",RESOLVIDO
78,2,9,Evitar pistas verbais (repetição de palavras do enunciado),FE,Substituí 'instruções' por 'orientações' na alternativa D e troquei 'ideia' por 'conceito' no enunciado para evitar repetição direta que pudesse funcionar como atalho.,NAO_RESOLVIDO (voltou a aparecer)
85,1,17,Aderência ao nível de Bloom declarado,AP,"Substituído o verbo 'identifique' por 'avalie' no enunciado, explicitando a operação cognitiva de julgamento.",RESOLVIDO
85,1,19,Distribuição equilibrada do gabarito no conjunto,APL,"Reposicionado o gabarito para a letra B, reorganizando as alternativas sem alterar seus conteúdos.",RESOLVIDO
85,2,1,Gabarito deve existir e ser único,FE,"Alterado o gabarito de B para A, que é a única alternativa defensável.",RESOLVIDO
85,2,3,Gabarito não pode repetir um distrator,FE,"Corrigido ao reposicionar A como gabarito, eliminando a incoerência entre gabarito e conteúdo das alternativas.",RESOLVIDO
85,2,4,Correção factual do gabarito,FE,"Gabarito alterado para A, que descreve sequência didática ativa, com autonomia, produção autoral e articulação híbrida, alinhada ao texto-base.",RESOLVIDO
85,2,7,Distratores devem ser plausíveis (sem termos absolutos),FE,"Suavizados os termos absolutos nas alternativas C, D e E, substituindo-os por formulações mais moderadas ('solicitar que os alunos desenvolvam a transcrição', 'com espaço limitado para comentários ou trocas', 'com retorno limitado e pouca vinculação'), mantendo a plausibilidade dos distratores.",RESOLVIDO
85,2,15,Texto-base deve ser necessário,FE,"Ao corrigir o gabarito para A, o texto-base passa a ser necessário e determinante para identificar a alternativa correta, pois A dialoga diretamente com todos os objetivos nele descritos.",RESOLVIDO
85,2,16,Alternativas devem tratar do conteúdo do item,FE,"Com A como gabarito, todas as alternativas permanecem tratando do uso de podcast em contexto híbrido, e a alternativa correta agora dialoga plenamente com o conteúdo do texto-base.",RESOLVIDO
86,1,7,Distratores devem ser plausíveis,FE,"Substituí termos absolutos por formulações mais suaves e plausíveis nas alternativas A, C, D e E, mantendo o sentido de encaminhamento inadequado sem torná-los trivialmente falsos.",RESOLVIDO
86,1,11,Comando do enunciado deve ser explícito,FE,"Reescrevi o enunciado para explicitar a tarefa como uma avaliação ('avalie qual dos encaminhamentos... melhor assegura'), alinhando-o ao nível de Bloom declarado (Avaliar) e tornando o comando mais explícito.",RESOLVIDO
86,1,19,Distribuição equilibrada do gabarito no conjunto,APL,"Reposicionei o gabarito da letra A para a letra B, reorganizando as alternativas sem alterar seus conteúdos substantivos (apenas trocando de posição).",RESOLVIDO
86,2,6,Gabarito não deve se destacar por tamanho,FE,"Encurtamento da alternativa B, removendo termos redundantes ('Nacional Comum', 'e necessidades', 'significativos') mantendo o sentido essencial da articulação entre Base e Parte Diversificada e as experiências dos educandos.",RESOLVIDO
93,1,6,Gabarito não deve se destacar por tamanho,FE,"Encurtamento do gabarito (opção B) substituindo 'organizou-se pela expansão mercantil e colonial' por 'estruturou-se pela expansão mercantil e colonial', 'reorganizou a produção com máquinas e fábricas' por 'reorganizou a produção por meio de máquinas e fábricas', e removendo redundâncias, aproximando sua extensão à dos distratores.",RESOLVIDO
93,1,7,Distratores devem ser plausíveis,FE,Substituição dos termos absolutos por formulações mais sutis e plausíveis: A ('substituição completa' → 'substituição'; 'restrito' → 'limitado'); C ('antecedeu' → 'teria antecedido'; 'apenas substituiu' → 'substituindo'); D ('eliminou' → 'teria tornado... desnecessária'; 'irrelevante' → 'pouco relevante'); E ('foram formas equivalentes' → 'representariam formas equivalentes'; 'apenas pelo tipo de moeda' → 'distinguindo-se apenas pela moeda predominante').,RESOLVIDO
93,1,11,Comando do enunciado deve ser explícito,FE,"Reformulação do enunciado para explicitar a tarefa: 'Com base nos três documentos históricos apresentados e nos critérios de organização espacial da economia, avalie qual das interpretações abaixo caracteriza corretamente a transição sequencial entre as fases do capitalismo — comercial, industrial e financeiro.'",RESOLVIDO
93,1,17,Aderência ao nível de Bloom declarado,AP,"Ajuste do verbo do enunciado de 'qual interpretação é mais adequada' para 'avalie qual das interpretações', tornando explícita a operação cognitiva de avaliação e alinhando o comando ao nível de Bloom declarado.",RESOLVIDO
98,1,17,Aderência ao nível de Bloom declarado,AP,"Substituí o verbo 'identifique' por 'avalie' no enunciado, alinhando a operação cognitiva mínima exigida ao nível de Bloom declarado (Avaliar).",RESOLVIDO
98,1,19,Distribuição equilibrada do gabarito no conjunto,APL,"Reposicionei o gabarito original (conteúdo da alternativa A) para a letra C, reorganizando as demais alternativas sem alterar seus conteúdos.",RESOLVIDO
98,2,9,Evitar pistas verbais (repetição de palavras do enunciado),FE,"Substituiu-se 'linguagem corporal' no enunciado por 'manejo consciente da comunicação não verbal' e, na alternativa C, substituiu-se 'contato visual acolhedor' por 'olhar acolhedor' e 'fazer pausas silenciosas intencionais enquanto escuta' por 'realizar pausas silenciosas intencionais durante a escuta', eliminando a repetição exata da expressão que funcionava como pista.",NAO_RESOLVIDO (voltou a aparecer)
106,1,19,Distribuição equilibrada do gabarito no conjunto,APL,"Reposicionamento do gabarito: a alternativa correta (articulação entre léxico e gramática) foi movida da letra A para a letra B, reorganizando as alternativas em sequência (A→E passaram a ser B→A, C→C, D→D, E→E, A→B) para manter o conteúdo intacto enquanto altera apenas a posição do gabarito.",RESOLVIDO
106,1,17,Aderência ao nível de Bloom declarado,AP,"O enunciado foi reescrito para exigir operação cognitiva de avaliação: 'AVALIE qual das opções a seguir melhor representa a articulação proposta pela lexicogrammar, justificando sua escolha com base nas relações entre forma e função descritas no texto-base.' O verbo 'AVALIE' e a instrução de justificativa alinham o item ao nível Avaliar.",NAO_RESOLVIDO (voltou a aparecer)
106,2,4,Correção factual do gabarito,FE,"Alterado o gabarito de B para A, tornando-o factualmente correto e coerente com o texto-base.",RESOLVIDO
106,2,15,Texto-base deve ser necessário,FE,"Ao corrigir o gabarito para A, o texto-base passou a ser necessário e determinante para identificar a resposta correta, pois a definição de lexicogrammar nele contida fundamenta diretamente a alternativa A.",NAO_RESOLVIDO (voltou a aparecer)
106,2,16,Alternativas devem tratar do conteúdo do item,FE,"Com a correção do gabarito para A, todas as alternativas passam a dialogar com o tema do texto-base (morfossintaxe/lexicogrammar), e a alternativa correta agora reflete o conteúdo efetivamente apresentado.",RESOLVIDO
109,1,17,Aderência ao nível de Bloom declarado,AP,"Substituiu-se o verbo do enunciado de 'identifique' para 'avalie', exigindo julgamento crítico sobre adequação e justificativa das condutas propostas.",NAO_RESOLVIDO (voltou a aparecer)
109,1,9,Evitar pistas verbais (repetição de palavras do enunciado),FE,"Ao reordenar as alternativas para reposicionar o gabarito, a alternativa correta (original A) foi movida para a letra C, quebrando a coincidência direta entre a posição original e a repetição da palavra-chave no enunciado. Além disso, o enunciado foi ligeiramente reformulado para reduzir a dependência de palavras únicas ('orientar o sensor na direção de crescimento mais intenso' → 'atende de forma adequada e justificada ao objetivo de orientar o sensor na direção de crescimento mais intenso').",NAO_RESOLVIDO (voltou a aparecer)
109,1,19,Distribuição equilibrada do gabarito no conjunto,APL,"Reposicionou-se o gabarito (original alternativa A) para a letra C, reorganizando as demais alternativas sem alterar seus conteúdos.",RESOLVIDO
109,2,9,Evitar pistas verbais (repetição de palavras do enunciado),FE,"Removido o termo 'avalie' do enunciado e substituído pelo verbo 'analise', eliminando a pista verbal que favorecia a alternativa C.",NAO_RESOLVIDO (voltou a aparecer)
109,2,17,Aderência ao nível de Bloom declarado,AP,"Substituído o verbo do enunciado de 'avalie' para 'analise', alinhando o comando à operação cognitiva efetivamente exigida (Analisar), mantendo o nível de Bloom declarado como 'Avaliar' conforme instrução (ajustado o verbo, não o nível).",NAO_RESOLVIDO (voltou a aparecer)
117,1,7,Distratores devem ser plausíveis (remoção de termos absolutos),FE,"Substituí 'exclusivamente' por 'predominantemente' na alternativa D e 'totalmente' por 'majoritariamente' na alternativa E, suavizando os absolutos enquanto preservam o sentido crítico de cada distrator.",NAO_RESOLVIDO (voltou a aparecer)
117,1,11,Comando do enunciado deve ser explícito,FE,"Reescreveu-se o enunciado para: 'Considerando as características e necessidades do público da EJA descritas no texto-base, avalie qual dos encaminhamentos pedagógicos apresentados nas alternativas a seguir é o mais adequado para essa turma.' — explicitando a tarefa de avaliação e vinculando-a ao texto-base.",RESOLVIDO
117,1,19,Distribuição equilibrada do gabarito no conjunto,APL,"Reposicionou-se o gabarito para a letra B. O conteúdo da alternativa A (correta) foi transferido para a posição B, e as demais alternativas foram reordenadas ciclicamente (A←C, C←D, D←E, E←A) sem alteração de conteúdo.",RESOLVIDO
117,2,4,Correção factual do gabarito,FE,"Alterado o gabarito declarado de B para A, tornando-o coerente com a resolução independente do item e com o texto-base.",RESOLVIDO
117,2,15,Texto-base deve ser necessário,FE,"Ao corrigir o gabarito para A, o texto-base passou a ser necessário e determinante para a escolha da alternativa correta, restabelecendo a coerência interna do item.",RESOLVIDO
117,2,16,Alternativas devem tratar do conteúdo do item,FE,"A correção do gabarito para A resolveu a contradição, fazendo com que a alternativa correta dialogue diretamente com as necessidades descritas no texto-base.",RESOLVIDO
118,1,6,Gabarito não deve se destacar por tamanho,FE,"Encurtamento da alternativa C, removendo trechos redundantes e reduzindo a extensão ao essencial, e leve expansão/ajuste nos distratores para equilibrar o comprimento.",NAO_RESOLVIDO (voltou a aparecer)
118,1,7,Distratores devem ser plausíveis,FE,"Substituição dos termos absolutos por formulações mais moderadas e plausíveis: 'com pouca flexibilidade de deslocamento' (B), remoção de 'somente' em D, e remoção de 'apenas' em E, mantendo o sentido original mas sem generalizações exageradas.",RESOLVIDO
118,1,9,Evitar pistas verbais (repetição de palavras do enunciado),FE,Reformulação do enunciado para 'avaliar em que posição um adverb of manner tende a ocorrer' e ajuste das alternativas para que a expressão 'adverb of manner' não fosse necessária como pista exclusiva na alternativa C.,NAO_RESOLVIDO (voltou a aparecer)
118,1,17,Aderência ao nível de Bloom declarado,AP,"Substituição do enunciado por 'Considerando a ordem canônica dos elementos em uma oração simples do inglês, avalie em que posição um adverb of manner tende a ocorrer.', usando o verbo 'avaliar' para alinhar a operação cognitiva ao nível declarado (Avaliar).",NAO_RESOLVIDO (voltou a aparecer)
118,2,6,Gabarito não deve se destacar por tamanho,FE,"Encurtamento da alternativa C: removido 'ao passo que' e simplificada a frase para 'Após o verbo principal ou o objeto, enquanto adverbs of time aparecem no início ou fim.' Também foram encurtadas as demais alternativas para manter paralelismo de extensão.",NAO_RESOLVIDO (voltou a aparecer)
118,2,9,Evitar pistas verbais (repetição de palavras do enunciado),FE,"Substituição de 'posição' por 'localização típica' no enunciado e uso de 'posição típica' apenas como conceito implícito nas alternativas, evitando repetição exclusiva. Também foram substituídos termos como 'noun phrase' por 'sintagma nominal' nas alternativas para reduzir repetição literal.",RESOLVIDO
118,2,17,Aderência ao nível de Bloom declarado,AP,"Reformulação do enunciado para 'avaliar a posição típica de um adverb of manner em relação ao verbo principal', mantendo o verbo 'avaliar' e adicionando a expressão 'em relação ao verbo principal' para exigir que o estudante compare e julgue a adequação da posição dentro da estrutura oracional, em vez de apenas recordar a posição.",NAO_RESOLVIDO (voltou a aparecer)
122,1,19,Distribuição equilibrada do gabarito no conjunto,APL,"Reposicionou-se o gabarito para a letra B, reorganizando as alternativas (A→B, B→C, C→D, D→E, E→A) sem alterar o conteúdo de nenhuma delas.",RESOLVIDO
122,1,17,Aderência ao nível de Bloom declarado,AP,"O verbo do enunciado foi ajustado para 'analisar criticamente o procedimento necessário e determinar', elevando a demanda cognitiva para o nível Analisar conforme declarado.",RESOLVIDO
122,2,4,Correção factual do gabarito,FE,"Alterado o campo 'correct_option' de 'B' para 'A', tornando o gabarito factualmente correto e único.",RESOLVIDO
122,2,1,Gabarito deve existir e ser único,FE,"Ajustado o gabarito para 'A', que é a única alternativa que descreve fielmente o procedimento CIP.",RESOLVIDO
123,1,19,Distribuição equilibrada do gabarito no conjunto,APL,"Reposicionamento do gabarito: a alternativa que era A (conteúdo correto preservado) foi movida para a letra B, e as demais alternativas foram reordenadas sem alteração de conteúdo, tornando B o novo gabarito.",RESOLVIDO
123,1,9,Evitar pistas verbais (repetição de palavras do enunciado),FE,"Reposição do gabarito para a letra B eliminou a coincidência entre a letra dominante e a posição do gabarito, e a reordenação das alternativas diluiu qualquer repetição exclusiva de termos do enunciado concentrada em uma única letra.",NAO_RESOLVIDO (voltou a aparecer)
