question_id,comando_depende_do_texto,alternativas_dependem_do_texto,gabarito_depende_do_texto,texto_base_necessario,justificativa,gabarito_dependem_do_texto
54,True,True,True,True,"O texto-base estabelece o contexto pedagógico (BNCC, língua franca, desigualdade tecnológica, repertórios híbridos) que fundamenta a avaliação das propostas nas afirmativas; sem ele, não há critérios claros para distinguir quais práticas são adequadas.",
56,True,True,True,True,"O texto-base fornece a identidade do alceno específico (2-buteno), as duas condições experimentais (com e sem peróxido) e os mecanismos envolvidos (eletrofílico vs radicalar), informações essenciais para interpretar o comando e distinguir corretamente entre as alternativas.",
62,True,True,True,True,"O texto-base fornece os conjuntos A, B e C, que são essenciais para interpretar o comando e calcular os resultados apresentados nas alternativas. Sem esses dados, a questão não pode ser respondida.",
63,True,True,True,True,"O texto-base fornece o contexto clínico essencial (queimadura térmica, queixas funcionais e psicossociais, lacunas no prontuário, tempo restrito) que fundamenta a escolha da conduta avaliativa mais adequada; sem ele, o enunciado e as alternativas perdem referência e não podem ser adequadamente distinguidas.",
66,True,True,True,True,"O texto-base fornece o contexto histórico (proposta de Kekulé, regras de valência do século XIX e fórmula C_6H_6) que é essencial tanto para o enunciado quanto para distinguir a alternativa correta das demais, pois sem esse contexto não seria possível avaliar a coerência estrutural e histórica exigida.",
69,True,False,False,False,"O comando referencia o contexto clínico do paciente queimado descrito no texto-base, mas as alternativas apresentam abordagens genéricas de avaliação fisioterapêutica que podem ser julgadas independentemente. O gabarito (A) reflete um princípio técnico universal de avaliação, não dependendo de informações específicas do texto-base.",
73,True,False,True,True,"O comando faz referência direta às ideias de Agostinho sobre verdades imutáveis e iluminação divina, que são explicitadas no texto-base. Embora as alternativas sejam estruturas lógicas genéricas, a identificação da resposta correta (C) exige o conhecimento do conteúdo do texto-base para avaliar a veracidade das asserções I e II.",
74,True,False,True,True,"O comando e a identificação do gabarito dependem do contexto fornecido pelo texto-base (o significado pretendido para cada expressão e o cenário descrito), enquanto as alternativas em si são autocontidas e podem ser analisadas isoladamente quanto à gramática e vocabulário.",
78,True,True,True,True,"O enunciado faz referência explícita à 'situação descrita' no texto-base, e todas as alternativas apresentam afirmações sobre elementos específicos do caso (instruções, processo, participação do público, documentação), que só podem ser avaliadas com base nas informações fornecidas no texto-base.",
85,True,True,True,True,"O texto-base descreve os objetivos específicos da professora (compreensão oral, autonomia, produção de áudio, aprendizagem ativa em curso híbrido), que são essenciais para avaliar a coerência de cada alternativa e justificar o gabarito A.",
86,True,True,True,True,"O texto-base contextualiza a situação específica da EJA, mencionando a articulação entre Base Nacional Comum e Parte Diversificada e as características do grupo, elementos essenciais para compreender o comando e avaliar as alternativas.",
88,False,False,False,False,"As asserções do enunciado descrevem práticas gerais de avaliação fisioterapêutica em queimaduras que não dependem de detalhes específicos do caso apresentado no texto-base; as alternativas e o gabarito avaliam apenas a veracidade e relação lógica entre as proposições, sem necessidade de informações do texto.",
90,False,False,False,False,"O enunciado fornece todos os dados necessários (a equação implícita da superfície e o ponto), e a resolução depende apenas do cálculo do gradiente, conceito matemático padrão que não precisa ser relembrado pelo texto-base. As alternativas são equações que podem ser verificadas independentemente.",
93,False,True,True,True,"O enunciado é genérico e pode ser compreendido sem o texto-base, mas as alternativas descrevem especificamente os três documentos apresentados no texto-base, e a identificação da alternativa correta (B) depende diretamente da correspondência entre os documentos e as etapas do capitalismo descritas.",
98,True,False,False,True,"O comando faz referência explícita à 'situação descrita' no texto-base, que contextualiza a piora clínica, a carga emocional e a importância da linguagem corporal. As alternativas descrevem condutas genéricas de comunicação que poderiam ser avaliadas isoladamente, mas o enunciado exige a vinculação ao cenário específico apresentado.",
106,True,False,False,False,"O comando faz referência direta ao conceito de 'lexicogrammar' introduzido no texto-base, mas as alternativas apresentam pares conceituais autossuficientes e a resposta correta (léxico e gramática) pode ser identificada por conhecimento prévio, tornando o texto-base dispensável para a resolução.",
109,True,True,True,True,"O texto-base contextualiza o problema físico (distribuição de temperatura em uma placa) e introduz conceitos essenciais como derivada direcional e vetor gradiente, que são fundamentais para compreender o comando e avaliar as alternativas. Sem ele, faltariam referências para entender a situação e justificar por que a alternativa A é a correta.",
110,True,True,True,True,"O texto-base apresenta o contexto específico (aluno com deficiência visual, aluna com dificuldades de leitura, necessidade de acessibilidade sem redução da complexidade conceitual) que fundamenta as afirmações do enunciado e permite distinguir quais práticas são adequadas, sendo essencial para compreender e responder à questão.",
117,False,False,False,False,"O enunciado e as alternativas tratam de princípios gerais de encaminhamento pedagógico para a EJA, que podem ser avaliados com base no conhecimento prévio do candidato sobre a modalidade, sem necessidade das informações específicas do texto-base.",
118,False,False,False,False,"O texto-base apenas contextualiza genericamente a organização de frases em inglês, mas todas as informações necessárias para responder à questão — sobre a posição de adverbs of manner e adverbs of time — estão contidas no próprio enunciado e nas alternativas.",
121,True,True,True,True,"O texto-base apresenta o conceito de lexicogrammar e sua relação com a BNCC, fornecendo o contexto teórico indispensável para compreender o comando e distinguir a alternativa correta das demais, que contrapõem o conceito apresentado.",
122,True,False,False,True,"O comando faz referência ao 'cenário descrito' no texto-base, que contextualiza a situação do estudante e o tipo de alceno analisado, sendo necessário para entender a que se refere a questão. As alternativas, porém, tratam de definições gerais das regras E/Z e poderiam ser avaliadas independentemente do texto-base.",
123,True,True,True,True,"O texto-base contextualiza a tensão entre a expectativa objetual do conselho e a natureza conceitual das obras, e o comando pede uma solução específica a essa situação. As alternativas e o gabarito só fazem sentido dentro desse contexto, pois contrapõem abordagens curatorialmente coerentes ou incoerentes com a centralidade do conceito descrita no texto.",
127,True,True,True,True,"O texto-base descreve a mudança estratégica da empresa de práticas filantrópicas para uma abordagem integrada de responsabilidade social, sendo essencial para avaliar quais afirmações (I-IV) estão alinhadas com essa nova diretriz. Sem ele, não seria possível distinguir quais opções são coerentes com o contexto proposto.",
131,False,False,False,False,"O enunciado e as alternativas tratam de conceitos gerais sobre a relação entre resposta imune, febre e manejo clínico, que podem ser respondidos com conhecimento teórico sem necessidade de dados específicos do caso clínico descrito no texto-base.",
132,False,False,False,False,"O enunciado e as alternativas tratam de definições gerais sobre o objeto de estudo da Geografia Econômica, que podem ser respondidas com conhecimento prévio do tema, sem necessidade das informações específicas do texto-base.",
138,True,True,True,True,"O texto-base define o contexto específico da EJA (trajetórias de trabalho, responsabilidades familiares, interrupções escolares) que fundamenta o que seria uma 'proposta didática coerente', sendo essencial tanto para compreender o comando quanto para distinguir a alternativa correta das demais.",
139,True,True,True,True,"O texto-base descreve o contexto específico da EJA, o perfil dos estudantes e a orientação da coordenação, elementos essenciais para que o enunciado e as alternativas façam sentido e possam ser avaliadas adequadamente. Sem ele, não seria possível identificar a ação mais adequada ao cenário descrito.",
140,True,False,True,True,"O comando apresenta duas asserções que retomam diretamente o conteúdo do texto-base (prática da artista, ready-mades, deslocamento conceitual), sendo necessário para verificar sua veracidade e relação de justificativa. As alternativas, porém, são estruturas lógicas genéricas que não dependem do texto. O gabarito depende do texto porque a correta identificação da relação de justificativa exige confrontar as asserções com as informações fornecidas no texto-base.",
141,False,False,False,False,"A questão avalia conhecimento teórico sobre postulados da Geometria Espacial (quantos pontos determinam um plano), que é independente do contexto específico da maquete. As alternativas e o gabarito se baseiam apenas nesse conhecimento conceitual.",
145,True,True,True,True,"O texto-base fornece o quadro clínico essencial (diferenciação entre cicatriz hipertrófica e queloide, limitações articulares e alterações posturais) que fundamenta tanto o enunciado quanto a distinção entre as alternativas, sendo indispensável para identificar a resposta correta.",
149,True,True,True,True,"O texto-base introduz o conceito-chave de 'encargo econômico' associado ao uso de lucros retidos, que é o objeto central do comando e das alternativas. Sem o texto, o candidato não teria referência sobre o que se trata esse encargo nem contexto para distinguir a alternativa correta das demais.",
151,False,False,False,False,"O enunciado e as alternativas tratam exclusivamente da fórmula do plano tangente, que é um conteúdo matemático padrão; o texto-base apenas contextualiza o tema sem fornecer informações essenciais para a resolução.",
160,False,False,False,False,"O enunciado e as alternativas tratam de forma genérica sobre polissemia e organização de verbetes, sem depender de informações específicas do texto-base; a questão poderia ser respondida apenas com base nos conceitos apresentados no próprio comando.",
165,False,False,False,False,"O enunciado e as alternativas tratam de decisões curatoriais em relação à Pop Art e sua crítica à cultura de massa, conceitos que podem ser compreendidos sem o texto-base. O texto serve apenas como contextualização narrativa, não fornecendo informações essenciais para distinguir ou avaliar as opções.",
167,True,True,True,True,"O texto-base descreve as células citotóxicas granulares (NK cells) e o contexto temporal da resposta imune, informações essenciais para compreender o comando e distinguir a alternativa correta (A) das demais, que descrevem funções de outras células do sistema imune.",
171,False,True,True,True,"O comando é genérico e não exige informações específicas do texto-base, mas as alternativas (incluindo o gabarito A) reproduzem e dependem diretamente das distinções conceituais e exemplos apresentados no texto-base sobre níveis, etapas e modalidades da educação.",
176,True,True,,True,"O texto-base apresenta o contexto problemático (ênfase em gramática descontextualizada vs. orientações da BNCC) e os interesses dos alunos, que são essenciais para avaliar criticamente quais propostas das afirmativas I-IV estão alinhadas às orientações atuais e ao cenário descrito.",True
184,True,True,True,True,"O comando pede o fator multiplicativo da mudança de variáveis, e as alternativas referem-se ao jacobiano da transformação específica dada no texto-base, que é essencial para calcular o determinante e identificar a resposta correta.",
186,True,True,True,True,"O texto-base fornece as três equações diferenciais cujas ordens, linearidades e tipos (EDO/EDP) são necessários para responder ao comando e distinguir entre as alternativas.",
188,True,True,True,True,"O texto-base fornece o contexto essencial sobre a proposta curatorial, o conceito de Arte Povera e os impasses da montagem, sem os quais não seria possível avaliar quais decisões expositivas são coerentes com a intenção de tensionar arte e vida cotidiana.",
192,True,True,True,True,"O texto-base fornece o quadro clínico detalhado (queimaduras profundas, reepitelização completa, cicatrizes rígidas, limitações funcionais) que é essencial para avaliar a adequação de cada conduta descrita nas afirmações I-IV. Sem essas informações, não seria possível determinar quais intervenções são apropriadas para a fase e condições da paciente.",
193,True,True,True,True,"O enunciado e as alternativas fazem referência direta à situação concreta descrita no texto-base (a prática da professora de EJA), sendo impossível avaliar qual alternativa é correta sem conhecer as ações e intenções pedagógicas narradas.",
198,True,True,True,True,"O enunciado e as afirmativas referem-se diretamente às práticas pedagógicas descritas no texto-base (disputas simuladas, leituras guiadas, trabalho comparativo), sendo impossível avaliá-las sem o contexto fornecido.",
203,True,True,True,True,"O texto-base fornece os achados clínicos e laboratoriais essenciais (deficiência de linfócitos B e imunoglobulinas, infecções por microrganismos encapsulados) que permitem identificar a imunodeficiência humoral e distinguir a alternativa correta das demais.",
212,True,True,True,True,"O comando exige a análise de fatores específicos do caso clínico descrito no texto-base, e as alternativas constroem hipóteses diretamente sobre esses fatores (antibioticoterapia, cateter, sonda, diabetes, idade), tornando o texto-base indispensável para responder à questão.",
224,True,False,False,True,"O comando exige avaliação da organização de um verbete específico, cuja descrição está no texto-base; porém, as alternativas tratam de princípios gerais de lexicografia, podendo ser analisadas independentemente do conteúdo do verbete. Ainda assim, o texto-base é necessário para contextualizar o objeto de avaliação.",
227,True,False,False,False,"O comando faz referência à 'perspectiva' do texto-base ao mencionar a EJA e seus princípios, mas as alternativas descrevem abordagens pedagógicas gerais que podem ser avaliadas independentemente do texto. Assim, o texto-base é útil para contextualização, porém dispensável para identificar a resposta correta.",
228,True,False,False,False,"O comando faz referência explícita ao 'contexto apresentado' no texto-base, mas as alternativas e o gabarito são autoexplicativos e podem ser avaliados com conhecimento prévio, sem depender do texto. Assim, o texto-base é dispensável para identificar a resposta correta.",
229,False,False,False,False,"O enunciado e as alternativas tratam de uma fórmula matemática padrão (momento de inércia em relação ao eixo z), que pode ser respondida com conhecimento teórico sem necessidade do texto-base, que apenas contextualiza o tema de forma genérica.",
230,True,True,True,True,"O texto-base apresenta o conflito central entre preservação das intenções artísticas e adaptação para públicos menos familiarizados, que é referenciado diretamente nas afirmações do enunciado; sem ele, não há contexto para avaliar quais estratégias são adequadas, nem para distinguir as alternativas.",
231,True,False,False,True,"O comando faz referência explícita à 'primeira sala descrita', cujas características (redução, serialização, materiais industriais) só estão definidas no texto-base. Contudo, as alternativas são autoexplicativas e a correta (A) pode ser identificada por corresponder aos conceitos mencionados no próprio enunciado, sem necessidade de reler o texto-base.",
238,False,False,False,False,"O enunciado e as alternativas tratam de definições gramaticais básicas sobre o uso do Simple Present com adverbs of frequency, que são conhecimentos autossuficientes e não dependem das informações genéricas do texto-base.",
241,True,True,True,True,"O texto-base apresenta as tensões específicas entre autoria individual e anonimato coletivo, bem como os atores envolvidos, que são essenciais para compreender o comando e avaliar a adequação de cada alternativa. Sem ele, não seria possível distinguir qual conduta responde adequadamente ao contexto descrito.",
246,False,False,False,False,"O enunciado pede diretamente a fórmula de Euler para poliedros convexos, e as alternativas usam notação matemática padrão (V, F, E), sem depender de informações específicas do texto-base.",
251,False,False,False,False,"A questão avalia conhecimento de tempos verbais em inglês por meio de uma frase contextualizada, sendo possível respondê-la com base nas regras gramaticais e nos próprios contextos fornecidos na frase do enunciado, sem necessidade do texto-base.",
252,False,False,False,False,"O enunciado e as alternativas tratam de conhecimento geométrico básico sobre retas paralelas e determinação de plano, que é autossuficiente e não depende das informações genéricas do texto-base.",
258,True,False,False,False,"O comando faz referência a 'essas discussões' presentes no texto-base, mas as alternativas tratam de definições gerais de referenciação que podem ser avaliadas independentemente. O gabarito (A) corresponde à definição consensual em linguística textual/discursiva, dispensando o texto-base para ser identificado.",
260,True,True,True,True,"O texto-base fornece as equações diferenciais específicas de cada modelo, sem as quais não é possível classificar sua natureza (linear, separável, etc.) nem avaliar a estratégia de resolução adequada, que são o cerne da questão e das alternativas.",
263,True,True,True,True,"O texto-base fornece informações essenciais sobre a fase cicatricial (proliferativa), características das cicatrizes e sintomas do paciente, que são indispensáveis para interpretar o comando e distinguir entre as alternativas de manejo compressivo apresentadas.",
267,True,True,True,True,"O texto-base fornece os conceitos essenciais (polarizabilidade vs. eletronegatividade, grupo de saída, controle experimental) que fundamentam tanto o enunciado quanto a distinção entre as alternativas, sendo indispensável para identificar a estratégia correta (A).",
275,True,True,True,True,"O texto-base contextualiza a turma de EJA, o perfil dos estudantes e a abordagem pedagógica esperada, elementos essenciais para compreender o comando e distinguir a alternativa correta (A) das demais, que se contrapõem à perspectiva ali defendida.",
276,True,True,True,True,"O texto-base contextualiza o ambiente específico (estiagem moderada, oscilações de temperatura, comunidade local) e as adaptações relevantes, sendo essencial para que o comando e as alternativas façam sentido e possam ser corretamente avaliadas.",
279,False,False,False,False,"A questão avalia conhecimento conceitual sobre Pop Art, e tanto o enunciado quanto as alternativas descrevem características gerais do movimento, dispensando informações específicas do texto-base.",
281,True,True,True,True,"O enunciado exige explicitamente que a resposta seja 'com base no texto', e as alternativas contrapõem interpretações que só podem ser avaliadas a partir dos elementos históricos e conceituais apresentados no texto-base (acumulação de capitais, reorganização do trabalho, dinamismo comercial e integração internacional).",
288,False,False,False,False,"O enunciado e as alternativas tratam de propriedades gerais de integrais triplas e troca de ordem de integração, que são conceitos matemáticos autossuficientes; o texto-base apenas contextualiza genericamente o tema sem fornecer informação essencial para a resolução.",
289,False,False,,False,O enunciado (com as duas asserções) e as alternativas contêm todas as informações necessárias para responder à questão; o texto-base apenas contextualiza o tema sem fornecer dados indispensáveis.,False
290,True,True,True,True,"O comando e as alternativas fazem referência direta às orientações e conceitos apresentados no texto-base (como superfície pictórica, cor como elemento central, ausência de figuras reconhecíveis), sendo indispensáveis para compreender o contexto e distinguir a alternativa correta das demais.",
293,True,True,True,True,"O texto-base descreve as características essenciais da obra (pintura abstrata, grande formato, ênfase na cor e experiência imersiva), que são fundamentais para avaliar a coerência das decisões de montagem apresentadas nas alternativas e no comando.",
295,True,True,True,True,"O comando faz referência direta ao quadro clínico descrito no texto-base, e as alternativas apresentam condutas avaliativas que só podem ser distinguidas com base nos sinais, sintomas e histórico detalhados no texto-base.",
300,True,True,True,True,"O texto-base fornece o contexto essencial sobre qual informação é conhecida e qual é nova, o que é indispensável para aplicar corretamente as regras de articles (definido vs. indefinido) e justificar o gabarito.",
301,True,True,True,True,"O texto-base fornece o contexto específico (problemas de afastamentos, diversidade e relação com a comunidade) que fundamenta a avaliação das afirmações no enunciado; sem ele, não seria possível julgar quais propostas são adequadas ao cenário apresentado.",
311,True,True,True,True,"O texto-base apresenta o contexto (formação continuada, lexicogrammar, BNCC, morfossintaxe) e a crítica ao ensino descontextualizado, que fundamentam tanto o comando quanto a distinção entre as alternativas. Sem ele, não ficaria claro o referencial teórico-metodológico exigido para escolher a proposta adequada.",
312,True,True,True,True,"O texto-base introduz a perspectiva teórica (semântica enunciativa) e os elementos em relação (signos, significados, intenção do falante), que fundamentam tanto o enunciado quanto a distinção entre as alternativas, especialmente a correta (A).",
321,True,True,True,True,"O enunciado e as afirmações fazem referência direta às ações e decisões da curadora descritas no texto-base (recusas, escolhas estéticas, abordagem conceitual), sendo impossível avaliar a correção das afirmações sem o contexto fornecido.",
322,False,False,False,False,"A questão trata de conhecimento conceitual sobre a distinção entre metas e estratégias em planejamento educacional, podendo ser respondida sem as informações específicas do texto-base. As alternativas apresentam definições genéricas que não dependem do contexto municipal descrito.",
327,True,True,True,True,"O texto-base define o conceito de lexicogrammar e sua relação com a BNCC, fornecendo o referencial teórico necessário para compreender o comando e distinguir a alternativa correta (A) das demais, que contrapõem esse entendimento.",
330,True,True,True,True,"O texto-base define as três famílias de funções e o critério de grupo abeliano para deslocamentos na reta, sendo essencial para compreender o enunciado e distinguir entre as alternativas, que fazem referência explícita às famílias e propriedades ali descritas.",
331,True,True,True,True,"O texto-base contextualiza a reação (substituição nucleofílica com NaOH em meio polar), o substrato inicial (1-bromopropano) e os parâmetros a serem comparados (polarização C–X e estabilidade do grupo de saída), que são essenciais para interpretar o comando e avaliar as alternativas.",
334,True,True,True,True,"O texto-base fornece informações clínicas essenciais (hipertrofia cicatricial, risco de contratura, estágio de remodelação) que fundamentam a escolha da técnica compressiva adequada; sem esses dados, não seria possível avaliar corretamente o enunciado nem distinguir as alternativas.",
343,True,True,True,True,"O comando remete explicitamente à 'evolução histórica das ideias econômicas apresentada no texto-base', e as alternativas apresentam afirmações sobre concepções específicas que só podem ser avaliadas com base nas informações fornecidas no texto-base.",
353,False,False,False,False,"O enunciado apresenta duas proposições autossuficientes sobre conceitos geométricos (volume e área de esferas), e as alternativas avaliam apenas a veracidade lógica dessas proposições, sem necessidade de dados numéricos ou contexto do texto-base.",
356,True,False,False,False,"O comando faz referência explícita ao texto-base para contextualizar a análise da unidade lexical 'rede', mas as alternativas tratam de definições gerais de lexicologia e lexicografia que independem do texto. O gabarito (C) pode ser identificado sem o texto-base, pois apresenta a distinção conceitual correta entre as áreas.",
360,True,True,True,True,"O comando remete explicitamente à 'situação descrita' no texto-base, e todas as alternativas fazem referência a elementos clínicos e contextuais (idade, UTI, cateter venoso central, antibioticoterapia, sinais sistêmicos) que só estão presentes no texto-base, sendo indispensável para distinguir a resposta correta.",
362,False,False,False,False,"O enunciado define completamente o problema matemático (dois planos distintos com interseção vazia no espaço tridimensional), sem necessidade de informações do texto-base. As alternativas e o gabarito dependem apenas de conhecimento geométrico básico sobre posições relativas de planos.",
364,True,False,False,False,"O comando referencia a situação dos três pontos não colineares definida no texto-base, mas as alternativas tratam de afirmações gerais sobre pontos, retas e planos que podem ser avaliadas independentemente do texto. Assim, o texto-base é dispensável para responder à questão.",
368,True,True,True,True,"O texto-base apresenta os princípios da BNCC para línguas estrangeiras (variedades linguísticas, práticas contextualizadas, reflexão crítica) que fundamentam tanto o enunciado quanto a distinção entre as alternativas, sendo essencial para identificar a opção correta (A).",
369,False,False,False,False,"O enunciado e as alternativas descrevem de forma autossuficiente as características de cada fase do capitalismo, permitindo identificar a resposta correta (capitalismo comercial) sem necessidade do texto-base.",
372,True,False,False,False,"O comando faz referência direta a 'essa perspectiva', remetendo ao texto-base, mas as alternativas são definições autônomas e a alternativa correta (A) poderia ser identificada mesmo sem o texto-base, pois apresenta a definição canônica de semântica.",
374,True,False,False,False,"O comando retoma e parafraseia conceitos do texto-base (organização espacial da produção, circulação e consumo), mas as alternativas e o gabarito podem ser respondidos com conhecimento geral sobre autores clássicos da Geografia econômica, sem necessidade de consultar o texto.",
387,True,True,True,True,"O texto-base introduz o contexto das práticas efêmeras (videoarte, performance, etc.) e a relação entre ação e registro, que são essenciais para compreender o enunciado e avaliar corretamente as alternativas, especialmente a justificativa do gabarito A.",
392,True,False,False,False,"O comando faz referência à 'perspectiva' apresentada no texto-base ('Nessa perspectiva...'), mas as alternativas apresentam definições autossuficientes que podem ser avaliadas independentemente do texto. A alternativa correta (A) corresponde à definição padrão de Geografia Econômica, dispensando o texto-base para a resolução.",
398,True,True,True,True,"O texto-base descreve detalhadamente as opções e dilemas do coletivo artístico, fornecendo os elementos concretos (recombinação, repetição, ironia, ambiguidade) que permitem identificar a alternativa alinhada à Pop Art. Sem ele, o enunciado seria genérico e as alternativas perderiam contexto para distinção.",
400,True,True,True,True,"O texto-base estabelece o contexto físico (cilindro de revolução, restrição de volume, relação entre custo e área lateral, e entre ocupação e área da base), que é essencial para interpretar e avaliar a veracidade de cada afirmação no enunciado e distinguir as alternativas.",
404,True,True,True,True,"O texto-base define os critérios curatoriais específicos (fotorrealismo, superfície contínua, exclusão de colagem/instalação, contraste com gestualidade abstrata) que são essenciais tanto para compreender o comando quanto para distinguir a alternativa correta das demais.",
405,True,True,True,True,"O texto-base estabelece a situação geométrica específica (reta r e ponto P externo) que fundamenta tanto o comando quanto as alternativas, sendo indispensável para contextualizar a relação entre os elementos e avaliar a validade das afirmações.",
406,True,True,True,True,"O texto-base fornece o contexto clínico essencial (queimadura, características da cicatriz, limitações funcionais) que permite ao candidato compreender a situação e avaliar qual abordagem de avaliação é prioritária. Sem ele, o comando ficaria genérico e as alternativas não poderiam ser adequadamente contrastadas.",
407,False,False,False,False,"A questão avalia conhecimento sobre as características gerais da Pop Art e da obra de Richard Hamilton, sendo possível respondê-la com base em conhecimento prévio, sem necessidade do texto-base.",
408,True,True,True,True,"O texto-base apresenta o problema concreto da turma de EJA (diversidade de necessidades versus currículo homogêneo), que fundamenta tanto o enunciado quanto a distinção entre as alternativas, especialmente a correta (C), que responde diretamente à situação descrita.",
410,True,True,True,True,"O comando faz referência explícita ao 'projeto descrito' no texto-base, e as alternativas apresentam propostas metodológicas que só podem ser avaliadas no contexto desse projeto. Sem o texto-base, não há referência ao que se pretende integrar (ciência e sustentabilidade) nem aos registros e objetivos mencionados nas alternativas.",
411,False,False,False,False,"As asserções I e II são afirmações gerais sobre fases lunares, eclipses e métodos de ensino que podem ser avaliadas com conhecimento científico e pedagógico, sem necessidade de informações específicas do texto-base. O gabarito (C) decorre da falsidade da asserção II, que é um fato astronômico independente do contexto descrito.",
412,True,False,False,False,"O comando faz referência ao 'contexto apresentado' no texto-base, mas as alternativas são definições autossuficientes de áreas da linguística, permitindo que a questão seja respondida sem o texto-base.",
414,True,True,False,True,"O texto-base é necessário para contextualizar a função r(t) como taxa de variação do combustível e definir o intervalo de interesse (t = 20 a 140 min), sendo essencial tanto para o enunciado quanto para a interpretação física correta das alternativas. Contudo, a alternativa correta (A) expressa um conceito matemático geral que poderia ser identificado independentemente do contexto específico.",
418,True,True,True,True,"O texto-base apresenta a afirmação da estudante que serve de objeto de avaliação para o comando e para as alternativas. Sem ele, não há referência ao conteúdo que precisa ser analisado semanticamente, tornando o enunciado e as opções sem contexto e incompreensíveis.",
420,True,False,False,False,"O comando (asserções I e II) reproduz e condensa as ideias centrais do texto-base, tornando-o dispensável para a resolução. As alternativas são genéricas (avaliação lógica de proposições) e o gabarito decorre da análise interna das asserções, sem necessidade de consulta ao texto-base.",
