question_id,discipline,question_type,taxonomy_level,base_text,stem,statement_i,statement_ii,statement_iii,statement_iv,assertion_i,assertion_ii,option_a,option_b,option_c,option_d,option_e,correct_option
29,Geometria Espacial,Múltipla Escolha Simples,Avaliar,"Em um projeto de arquitetura, um ponto P está localizado a 6 m de uma parede plana representada por um plano α. Para instalar um suporte, deseja-se determinar a menor distância entre P e α e a posição do pé da perpendicular traçada de P ao plano. Considere que o ponto O é a projeção ortogonal de P sobre α.","Com base nessa situação, qual afirmação descreve corretamente a relação geométrica entre P, O e o plano α?",,,,,,,"A distância de P ao plano α é a medida do segmento PO, e PO é perpendicular a α.","A distância de P ao plano α é a medida de qualquer segmento que ligue P a um ponto de α, e PO é oblíquo a α.","A distância de P ao plano α é igual à projeção de P sobre α medida ao longo do próprio plano, e PO é paralelo a α.","A distância de P ao plano α depende da área do triângulo formado por P, O e qualquer ponto de α, e PO pertence simultaneamente a α e à reta perpendicular a α.","A distância de P ao plano α é sempre nula, pois todo ponto do espaço está sobre algum plano, e PO é uma reta imaginária sem direção definida.",A
32,Arte Contemporânea,Múltipla Escolha Simples,Avaliar,"No início da década de 1960, um artista norte-americano passou a utilizar imagens retiradas da publicidade, de quadrinhos e de embalagens industriais para produzir pinturas e gravuras em série. Ao repetir latas de sopa, rostos de celebridades e produtos de consumo, ele transformou imagens do cotidiano em tema artístico, recorrendo a processos de reprodução mecânica que aproximavam a obra da cultura de massa. Em uma análise comparativa, um estudante afirma que essa estratégia consiste em elevar objetos banais ao estatuto de arte sem ocultar sua origem na sociedade de consumo.","Com base nesse contexto, qual interpretação crítica melhor caracteriza a Pop Art e a técnica empregada por esse artista?",,,,,,,"Valorizar a singularidade da pincelada expressionista para denunciar a alienação urbana, recorrendo à pintura gestual e espontânea como marca central da obra.","Rejeitar toda referência ao cotidiano e à cultura de massa, defendendo a autonomia absoluta da forma por meio de superfícies neutras e impessoais.","Transformar imagens e produtos da mídia em tema artístico, apropriando-se de procedimentos de repetição e reprodução mecânica para problematizar o consumo de massa.","Substituir a imagem figurativa por estruturas tridimensionais austeras, buscando a experiência contemplativa do espaço através de materiais industriais mínimos.","Recuperar temas mitológicos clássicos com acabamento artesanal único, a fim de restaurar a aura tradicional da pintura e afastá-la da indústria cultural.",C
36,ARTE CONTEMPORÂNEA,Múltipla Escolha Simples,Avaliar,"Uma curadora convidou um jovem artista para integrar uma exposição sobre processos experimentais na arte contemporânea. Durante a visita ao ateliê, o artista apresenta um projeto composto por instruções escritas e gravações de áudio que descrevem ações a serem realizadas pelo público em espaços urbanos. Ele destaca que o interesse principal está no percurso mental ativado em quem executa ou imagina as propostas, enquanto os registros materiais dessas ações têm função documental em sua pesquisa. A curadora manifesta preocupação com a ausência de objetos visualmente impactantes na mostra e sugere a criação de peças escultóricas mais elaboradas. Diante do impasse, o artista decide reformular sua participação, buscando preservar a ênfase na centralidade da ideia e no processo reflexivo que deseja desencadear no público, em sintonia com discussões conceituais da arte da segunda metade do século XX.","Considerando a situação descrita e a ênfase do artista na sobreposição da ideia ao produto final, identifique a alternativa que apresenta uma decisão coerente com essa pesquisa para a reformulação de sua participação na exposição.",,,,,,,"Manter as instruções como núcleo da obra e propor que o público execute ou leia essas ações durante a exposição, realizando registros simples dos vestígios do processo como complemento documental.","Desenvolver esculturas monumentais baseadas nas descrições das ações, concentrando o esforço em acabamentos sofisticados e em materiais de alto custo que impressionem o visitante.","Criar uma série de telas com imagens ilustrativas das possíveis ações urbanas, priorizando composições harmoniosas e cromatismo impactante para reforçar a dimensão visual.","Produzir objetos tridimensionais que simulem cenas das ações propostas, organizando-os como ambientações cenográficas pensadas para gerar imagens fotogênicas da mostra.","Substituir as instruções por um vídeo com efeitos visuais complexos, em que atores encenam as ações urbanas em cenários iluminados de forma cinematográfica e tecnicamente elaborada.",A
37,ESTÉTICA FACIAL APLICADA,Múltipla Escolha Simples,Analisar,"Uma paciente de 38 anos, fototipo III, procura atendimento relatando manchas acastanhadas no rosto há cerca de dois anos. Ela refere intensificação após férias em região litorânea, uso contínuo de anticoncepcional oral e episódios recentes de estresse intenso. No exame, observam-se áreas hiperpigmentadas, de limites relativamente nítidos, distribuídas de forma simétrica em fronte, região malar e dorso nasal, sem relevo ou descamação. A paciente utiliza fotoprotetor, porém aplica o produto uma vez ao dia, em quantidade reduzida, reaplicando apenas em situações de exposição direta prolongada ao sol. Relata histórico familiar de manchas faciais semelhantes na mãe. Diante desse quadro, o profissional precisa organizar as informações clínicas e relacioná-las às principais hipercromias faciais para formular a hipótese diagnóstica inicial e planejar condutas clareadoras e fotoprotetoras adequadas.","Com base na situação descrita, identifique a alternativa que apresenta a conclusão clínica mais compatível com o quadro de hiperpigmentação facial dessa paciente.",,,,,,,"Atribuir o quadro a uma hipercromia relacionada à combinação de influência hormonal, exposição solar acumulada e predisposição familiar, com distribuição típica em áreas centrais da face.","Relacionar as manchas a hipercromia localizada por exposição solar aguda recente, limitada ao período das últimas férias, sem participação relevante de fatores hormonais.","Interpretar as lesões como hipercromia característica de fototipos muito claros, com predomínio de pequenas máculas arredondadas que se iniciam na infância.","Classificar as manchas como hipercromia predominantemente associada ao envelhecimento cutâneo e ao fotoexposição crônica, com maior ocorrência em regiões como mãos, ombros e colo.","Concluir que se trata de hipercromia residual pós-inflamatória, decorrente de trauma prévio ou lesões inflamatórias extensas em toda a face.",A
39,Geometria Espacial,Múltipla Escolha Simples,Avaliar,"Em uma aula de Geometria Espacial, um estudante analisa um poliedro convexo que possui 8 vértices e 12 arestas, verificando também a consistência entre suas faces, vértices e arestas por meio de uma relação clássica da geometria dos poliedros.","Para esse poliedro, o número de faces é igual a...",,,,,,,"6, pois ele satisfaz a relação de Euler $V-A+F=2$.","4, pois todo poliedro com 8 vértices e 12 arestas possui duas faces a menos que vértices.","8, pois em um poliedro convexo o número de faces coincide sempre com o número de vértices.","10, pois a relação de Euler determina que o número de faces é a soma de vértices e arestas menos dois.","12, pois o número de faces é sempre igual ao número de arestas em qualquer poliedro.",A
43,ARTE CONTEMPORÂNEA,Múltipla Escolha Simples,Aplicar,"Uma artista visual é convidada para um festival dedicado a práticas em que o corpo ocupa lugar central na criação. Em trabalhos anteriores, recorria a figurinos vistosos, cenários elaborados e narrativas dramáticas, mantendo a pele coberta e sem modificações duradouras. Para esse novo projeto, pretende que cicatrizes, marcas já existentes e intervenções planejadas em sua própria pele se tornem o foco da obra, minimizando objetos de cena, maquiagem e personagens. Em diálogo com a curadoria, discute se a ação deve envolver procedimentos corporais permanentes ou apenas efeitos cenográficos, e em que medida cada escolha aproxima a proposta de uma exploração crítica do corpo como suporte, linguagem e obra na Arte Contemporânea, em particular nas práticas de body art.","Considerando a situação apresentada e as características da body art na Arte Contemporânea, identifique a decisão da artista que mais se articula com essa abordagem.",,,,,,,"Organizar uma ação em que realiza, diante do público, uma intervenção permanente em sua pele, planejada para enfatizar marcas, sensação de dor e vulnerabilidade do próprio corpo, mantendo o corpo em evidência e reduzindo elementos de figurino e cenário.","Conceber uma apresentação em que permanece imóvel em um palco escuro enquanto projeções de vídeos e textos críticos sobre identidade e gênero são exibidas ao fundo, preservando a integridade corporal sem modificações duradouras.","Elaborar uma encenação dramática com diálogos, personagens e trilha sonora, na qual utiliza maquiagem e figurinos para representar simbolicamente conflitos de gênero, sem realizar intervenções concretas em sua superfície corporal.","Definir uma ação em que convida o público a escrever mensagens em folhas de papel que serão coladas em seu corpo por alguns minutos e posteriormente removidas, deixando lembranças subjetivas após o término do evento.","Planejar uma sessão fotográfica em estúdio em que posa com roupas de diferentes estilos culturais, explorando mudanças de identidade por meio da troca de vestimentas e expressões faciais, sem recorrer a inscrições permanentes sobre o corpo.",A
54,METODOLOGIAS DO ENSINO DE LÍNGUAS ESTRANGEIRAS,Múltipla Escolha Complexa,Avaliar,"Uma professora de Língua Inglesa dos anos finais do Ensino Fundamental, em uma escola pública, revisa seu planejamento anual à luz da BNCC. Ela pretende articular o trabalho com leitura, escuta, oralidade e escrita, buscando ampliar o repertório linguístico, cultural e digital dos estudantes, em uma perspectiva de língua inglesa como língua franca. Em sua turma, há alunos com acesso desigual às tecnologias digitais e com diferentes experiências prévias com a língua inglesa. A professora deseja que os estudantes usem a língua em situações de interação significativas, inclusive em ambientes virtuais, negociando sentidos com falantes de diversas origens e valorizando repertórios híbridos. Diante disso, precisa decidir entre organizar as aulas em torno de listas de estruturas gramaticais descontextualizadas, de um livro didático centrado em diálogos entre falantes nativos idealizados ou de projetos que envolvam participação em práticas sociais reais mediadas pela língua inglesa, em diferentes suportes.","Considerando o contexto apresentado, é correto APENAS o que se afirma em:","Planejar projetos nos quais os estudantes produzam e respondam a mensagens multimodais (como comentários, áudios curtos e postagens), dirigidas a interlocutores diversos, priorizando a construção de sentidos em contextos reais de uso e a participação em práticas sociais, ainda que ocorram desvios formais na língua.","Organizar uma sequência de aulas em que cada encontro seja dedicado exclusivamente à memorização de estruturas gramaticais isoladas, com exercícios de tradução descontextualizada, adiando qualquer atividade de interação até que o grupo domine um conjunto amplo de regras.","Propor atividades em que os alunos analisem criticamente textos em inglês provenientes de diferentes países, comparando modos de dizer e referências culturais, e discutindo como esses materiais circulam nas redes sociais que eles já utilizam, de modo a favorecer a compreensão intercultural e o uso estratégico da língua.","Restruturar o planejamento de modo a concentrar a maior parte das aulas em diálogos ficcionais entre falantes nativos idealizados, tomando esses modelos como padrão único de correção e desencorajando o uso de repertórios híbridos pelos estudantes, mesmo em situações em que a interação com falantes de diferentes origens é o objetivo principal.",,,I e III estão corretas,II e IV estão corretas,"I, II e III estão corretas","I, II e IV estão corretas","I, II, III e IV estão corretas",A
56,QUÍMICA ORGÂNICA,Múltipla Escolha Simples,Analisar,"Um estudante investiga a reação entre o alceno $CH_3-CH\=CH-CH_3$ e $HBr$ em duas condições experimentais. No primeiro frasco, utiliza $HBr$ em solução inerte, à temperatura moderada, sem quaisquer iniciadores radicalares adicionados. Nessa situação, ele sabe que a reação costuma prosseguir por um mecanismo de adição eletrofílica, envolvendo a formação de um carbocátion intermediário e orientação de adição associada à regra de Markovnikov. No segundo frasco, repete a mistura, mas adiciona uma pequena quantidade de um peróxido que atua como iniciador radicalar, sem mencionar outras fontes de oxigênio. Sabendo que, nessas condições, a adição de $HBr$ pode seguir um mecanismo radicalar, o estudante precisa comparar a estabilidade do carbocátion e do radical intermediário para entender como cada percurso reacional direciona a posição do bromo na cadeia e explica as diferentes proporções de isômeros de bromoalcanos observadas.","Considerando as duas condições descritas, identifique a alternativa que descreve corretamente o raciocínio que o estudante deve utilizar para prever o produto majoritário formado em cada frasco, em termos da posição em que o bromo se liga ao alcano resultante.",,,,,,,"Diferenciar os dois frascos verificando que, no primeiro, a reação ocorre por adição eletrofílica via carbocátion estável no carbono mais substituído, de modo que o bromo se liga preferencialmente a esse carbono (regra de Markovnikov), enquanto, no segundo, a reação ocorre por mecanismo radicalar em que o radical intermediário mais estável envolve o carbono menos substituído, levando o bromo a se ligar principalmente a esse carbono (orientação anti-Markovnikov), resultando em produtos com bromo em posições opostas nas duas condições.","Organizar o raciocínio supondo que, no primeiro frasco, o bromo se une diretamente ao carbono menos substituído da dupla, e, no segundo, a protonação inicial fixa o próton no carbono mais substituído, gerando o mesmo bromoalcano em ambas as condições.","Examinar as condições e assumir que, em ambos os frascos, a etapa determinante é a protonação da dupla em um dos carbonos, de modo que o bromo se distribui de forma imprevisível entre os dois centros, resultando em mistura semelhante de isômeros.","Comparar os frascos atribuindo ao primeiro uma etapa inicial de ataque do brometo à dupla para formar um intermediário neutro, e ao segundo uma sequência em que o próton se adiciona depois ao carbono menos substituído, explicando a inversão de orientação observada.","Atribuir aos dois frascos percursos reacionais muito próximos, com pequenas diferenças de velocidade, de forma que o bromo tende a se ligar ao carbono mais substituído, e as diferenças de isomeria se explicam por variações de estereoquímica durante o ataque do brometo.",A
62,ESTRUTURAS ALGÉBRICAS,Múltipla Escolha Simples,Aplicar,"Uma equipe de pesquisa em educação matemática analisou o desempenho de estudantes em três avaliações sucessivas. Para isso, organizou os resultados em três conjuntos, todos subconjuntos de $\mathbb{N}$: $A$ representa as notas dos estudantes na primeira avaliação, $B$ as notas da segunda e $C$ as notas da terceira. Após tabular os dados, a equipe obteve: $A = \{4, 5, 6, 7\}$, $B = \{5, 7, 8\}$ e $C = \{4, 6, 8, 9\}$. Os pesquisadores desejam identificar quais notas apareceram em pelo menos duas avaliações diferentes para investigar possíveis padrões de consolidação de aprendizagem entre as etapas do curso em que as provas foram aplicadas.","Com base na situação descrita, determine o conjunto que representa todas as notas que ocorreram em pelo menos duas das três avaliações.",,,,,,,"Calcular $(A \cap B) \cup (A \cap C) \cup (B \cap C)$, obtendo o conjunto $\{4, 5, 6, 7, 8\}$.","Calcular $(A \cup B) \cap C$, obtendo o conjunto $\{4, 6, 8\}$.","Calcular $(A \cap B) \cup C$, obtendo o conjunto $\{4, 5, 6, 7, 8, 9\}$.","Calcular $A \cup B \cup C$, obtendo o conjunto $\{4, 5, 6, 7, 8, 9\}$.","Calcular $(A \cap B) \cap C$, obtendo o conjunto $\{\}$ (vazio).",A
63,FISIOTERAPIA DERMATOFUNCIONAL,Afirmação Incompleta,Avaliar,"Uma mulher de 32 anos, vítima de queimadura térmica em membros superiores e tronco há oito semanas, comparece ao seguimento ambulatorial de Fisioterapia Dermatofuncional. O prontuário hospitalar contém informações detalhadas sobre extensão corporal acometida, profundidade das lesões, procedimentos cirúrgicos realizados e intercorrências clínicas agudas. No entanto, não há registro de medidas atualizadas de amplitude de movimento, força, dor, prurido, impacto psicossocial das cicatrizes ou limitações nas atividades de vida diária. A paciente relata dificuldade para elevar os braços, sensação de repuxamento nas áreas enxertadas e preocupação com sua reintegração laboral e social. Diante de tempo de consulta restrito, o fisioterapeuta precisa julgar quais componentes da avaliação clínica devem receber prioridade para sustentar um planejamento terapêutico focado na funcionalidade, no controle cicatricial e na qualidade de vida.","Na consulta ambulatorial descrita, a conduta de avaliação que mais favorece o planejamento fisioterapêutico dermatofuncional é",,,,,,,"organizar uma anamnese minuciosa direcionada à história da queimadura, às cirurgias realizadas, às queixas atuais e às repercussões funcionais e psicossociais, seguida de exame físico que contemple inspeção das cicatrizes, avaliação da mobilidade segmentar e análise da força muscular.","concentrar o atendimento em exame físico abreviado voltado à mensuração de amplitude de movimento e perimetria, utilizando o prontuário como fonte principal para os demais dados clínicos e reduzindo a investigação das queixas subjetivas.","priorizar a comparação entre registros imagéticos seriados e o aspecto atual das áreas enxertadas, dando ênfase ao julgamento estético global e postergando a avaliação sistemática da função musculoesquelética.","reaplicar o protocolo de admissão hospitalar, repetindo medidas de extensão da superfície corporal queimada e parâmetros vitais, com atenção secundária às limitações funcionais instaladas ao longo do período ambulatorial.","realizar rastreio sintético da dor com escala numérica e observação geral da postura em ortostatismo, deixando a análise detalhada das cicatrizes, do movimento e da força para reavaliações futuras.",A
